ticket_id,subject,description,ticket_text,category,priority
1,Requesting W-9 vendor tax form for accounts payable - Request assistance,Our accounting department requires a signed W-9 form and bank ACH direct deposit details before processing the outstanding purchase order. Logs and system diagnostic details have been captured and can be provided upon request.,Requesting W-9 vendor tax form for accounts payable - Request assistance. Our accounting department requires a signed W-9 form and bank ACH direct deposit details before processing the outstanding purchase order. Logs and system diagnostic details have been captured and can be provided upon request.,Payment,Low
2,Urgent: Webcam hardware disconnected error,Built-in laptop webcam gives error 0xA00F4244 NoCamerasAreAttached in Windows Camera app. Driver is missing in Device Manager. This is severely impacting our daily operations and client deliverable deadlines.,Urgent: Webcam hardware disconnected error. Built-in laptop webcam gives error 0xA00F4244 NoCamerasAreAttached in Windows Camera app. Driver is missing in Device Manager. This is severely impacting our daily operations and client deliverable deadlines.,Hardware,Medium
3,Office WiFi connected but no internet access - Request assistance,"Laptops on the 4th floor connect to 'Corp-Secure-WiFi' with strong signal, but browser displays 'No Internet Access, DNS server not responding'. We noticed this error intermittently over the past week, but now it occurs constantly.","Office WiFi connected but no internet access - Request assistance. Laptops on the 4th floor connect to 'Corp-Secure-WiFi' with strong signal, but browser displays 'No Internet Access, DNS server not responding'. We noticed this error intermittently over the past week, but now it occurs constantly.",Network,High
4,Background worker queue stalled and backlog growing,"Celery / Redis background task queue is not processing asynchronous email notification jobs. 15,000 tasks stuck in pending state. We have already attempted rebooting the system, but the problem persists.","Background worker queue stalled and backlog growing. Celery / Redis background task queue is not processing asynchronous email notification jobs. 15,000 tasks stuck in pending state. We have already attempted rebooting the system, but the problem persists.",Technical Issue,High
5,VoIP desk phone unregistered from PBX - Request assistance,Cisco IP phone on desk 14 shows 'Registration Failed'. No dial tone and cannot receive incoming transfers from receptionist.,VoIP desk phone unregistered from PBX - Request assistance. Cisco IP phone on desk 14 shows 'Registration Failed'. No dial tone and cannot receive incoming transfers from receptionist.,Network,Medium
6,[Issue] Stripe checkout payment gateway throwing error 402,"When attempting to pay invoice online, checkout modal throws error 'Payment Required: card_declined'. Bank confirms no block on our end. We noticed this error intermittently over the past week, but now it occurs constantly.","[Issue] Stripe checkout payment gateway throwing error 402. When attempting to pay invoice online, checkout modal throws error 'Payment Required: card_declined'. Bank confirms no block on our end. We noticed this error intermittently over the past week, but now it occurs constantly.",Payment,High
7,Guest contractor account extension required,Contractor engagement for vendor QA has been extended by 30 days. Need their account expiration date extended in Active Directory. This is severely impacting our daily operations and client deliverable deadlines.,Guest contractor account extension required. Contractor engagement for vendor QA has been extended by 30 days. Need their account expiration date extended in Active Directory. This is severely impacting our daily operations and client deliverable deadlines.,Account,Medium
8,Single Sign-On SSO authentication loop on Okta - Request assistance,Clicking on Jira or Confluence through Okta dashboard redirects in an infinite loop back to the login portal without signing in. Please advise on immediate troubleshooting steps or dispatch a technician.,Single Sign-On SSO authentication loop on Okta - Request assistance. Clicking on Jira or Confluence through Okta dashboard redirects in an infinite loop back to the login portal without signing in. Please advise on immediate troubleshooting steps or dispatch a technician.,Account,High
9,[Issue] SSL handshake failure between microservices,Service mesh communication failed with 'SSL: CERTIFICATE_VERIFY_FAILED: certificate has expired' between billing and user services. Please advise on immediate troubleshooting steps or dispatch a technician.,[Issue] SSL handshake failure between microservices. Service mesh communication failed with 'SSL: CERTIFICATE_VERIFY_FAILED: certificate has expired' between billing and user services. Please advise on immediate troubleshooting steps or dispatch a technician.,Technical Issue,Critical
10,Help needed: VPN client software fails to initialize virtual adapter,GlobalProtect / OpenVPN agent displays 'Failed to create virtual network adapter' during startup sequence. Reinstalling network drivers did not help.,Help needed: VPN client software fails to initialize virtual adapter. GlobalProtect / OpenVPN agent displays 'Failed to create virtual network adapter' during startup sequence. Reinstalling network drivers did not help.,Software,High
11,Help needed: User account locked out after failed password attempts,Entered incorrect password on Monday morning and now my domain account is locked out. Need admin to unlock in Active Directory so I can login. Please advise on immediate troubleshooting steps or dispatch a technician.,Help needed: User account locked out after failed password attempts. Entered incorrect password on Monday morning and now my domain account is locked out. Need admin to unlock in Active Directory so I can login. Please advise on immediate troubleshooting steps or dispatch a technician.,Account,High
12,Help needed: Conference room TV display color distortion,Main wall display in Conference Room B shows severe purple and green tint over HDMI input. Resetting display settings did not resolve. Logs and system diagnostic details have been captured and can be provided upon request.,Help needed: Conference room TV display color distortion. Main wall display in Conference Room B shows severe purple and green tint over HDMI input. Resetting display settings did not resolve. Logs and system diagnostic details have been captured and can be provided upon request.,Hardware,Low
